ax,ay,az,gx,gy,gz,mx,my,mz
-304.0,-9432.0,13608.0,-138.0,91.0,20.0,-185.0,-123.0,-371.0
-560.0,-9584.0,13544.0,-112.0,88.0,86.0,-173.0,-125.0,-360.0
-392.0,-9552.0,13432.0,-259.0,25.0,139.0,-178.0,-125.0,-365.0
-360.0,-9488.0,13504.0,-482.0,439.0,-61.0,-179.0,-118.0,-368.0
-288.0,-9312.0,13544.0,-254.0,445.0,-248.0,-182.0,-123.0,-381.0
-472.0,-9616.0,13432.0,-476.0,374.0,-13.0,-185.0,-126.0,-363.0
-536.0,-9376.0,13448.0,-450.0,220.0,-184.0,-190.0,-121.0,-363.0
-544.0,-9632.0,13448.0,-462.0,194.0,-223.0,-186.0,-115.0,-372.0
-520.0,-9616.0,13480.0,-327.0,68.0,-360.0,-187.0,-118.0,-358.0
-288.0,-9608.0,13520.0,-413.0,8.0,-4.0,-177.0,-131.0,-368.0
-592.0,-9408.0,13560.0,-269.0,414.0,-109.0,-183.0,-117.0,-360.0
-600.0,-9464.0,13400.0,-357.0,332.0,-155.0,-175.0,-130.0,-367.0
-536.0,-9304.0,13512.0,-583.0,307.0,16.0,-185.0,-121.0,-371.0
-584.0,-9536.0,13624.0,-581.0,483.0,-97.0,-187.0,-126.0,-371.0
-432.0,-9624.0,13504.0,-448.0,330.0,-35.0,-181.0,-134.0,-370.0
-432.0,-9520.0,13616.0,-359.0,-14.0,-177.0,-175.0,-120.0,-375.0
-472.0,-9600.0,13552.0,-238.0,184.0,117.0,-185.0,-126.0,-373.0
-400.0,-9688.0,13600.0,-366.0,-91.0,-72.0,-187.0,-126.0,-373.0
-344.0,-9680.0,13688.0,-351.0,316.0,-486.0,-183.0,-120.0,-365.0
-552.0,-9352.0,13528.0,-391.0,83.0,196.0,-183.0,-122.0,-372.0
-472.0,-9592.0,13544.0,-114.0,468.0,-151.0,-183.0,-120.0,-375.0
-408.0,-9520.0,13336.0,-304.0,-106.0,-559.0,-181.0,-120.0,-362.0
