ax,ay,az,gx,gy,gz,mx,my,mz
-16592.0,936.0,-48.0,37.0,-138.0,138.0,161.0,-192.0,-285.0
-16272.0,880.0,192.0,111.0,-118.0,303.0,162.0,-188.0,-291.0
-17176.0,600.0,16.0,-207.0,-521.0,228.0,156.0,-187.0,-300.0
-16480.0,824.0,-320.0,223.0,31.0,473.0,154.0,-188.0,-284.0
-16424.0,1088.0,-32.0,12.0,284.0,451.0,153.0,-187.0,-290.0
-16688.0,760.0,24.0,-584.0,380.0,-284.0,149.0,-188.0,-291.0
-16464.0,560.0,-168.0,340.0,215.0,488.0,156.0,-180.0,-293.0
-16528.0,992.0,24.0,55.0,112.0,140.0,152.0,-191.0,-294.0
-16232.0,1040.0,-112.0,210.0,24.0,87.0,162.0,-183.0,-289.0
-16168.0,824.0,-152.0,255.0,-253.0,51.0,150.0,-190.0,-288.0
-16256.0,800.0,-320.0,42.0,-287.0,219.0,161.0,-192.0,-295.0
-16632.0,992.0,-232.0,96.0,-62.0,240.0,148.0,-187.0,-285.0
-16432.0,944.0,-224.0,-445.0,443.0,111.0,158.0,-187.0,-285.0
-16688.0,880.0,248.0,-338.0,-69.0,327.0,153.0,-187.0,-288.0
-16496.0,584.0,-200.0,-206.0,258.0,-234.0,158.0,-199.0,-288.0
-16560.0,880.0,-256.0,226.0,25.0,274.0,157.0,-193.0,-296.0
-16296.0,936.0,-40.0,-25.0,168.0,116.0,158.0,-180.0,-290.0
-16392.0,840.0,-472.0,-331.0,337.0,-74.0,158.0,-182.0,-288.0
-16608.0,856.0,-96.0,-350.0,409.0,-98.0,148.0,-190.0,-295.0
-16448.0,960.0,-8.0,195.0,-160.0,398.0,148.0,-192.0,-285.0
-16384.0,904.0,-280.0,-15.0,-209.0,389.0,164.0,-187.0,-290.0
-16520.0,816.0,-336.0,-324.0,215.0,-307.0,156.0,-192.0,-290.0
-16504.0,984.0,-72.0,37.0,-321.0,550.0,160.0,-183.0,-296.0
-16416.0,896.0,-384.0,-497.0,569.0,72.0,156.0,-195.0,-288.0
-16352.0,912.0,-152.0,247.0,252.0,291.0,152.0,-186.0,-286.0
-16608.0,856.0,-32.0,-221.0,-314.0,334.0,153.0,-187.0,-295.0
-16712.0,752.0,64.0,-26.0,-459.0,173.0,154.0,-188.0,-286.0
-16712.0,848.0,-128.0,-528.0,434.0,81.0,158.0,-185.0,-280.0
-16448.0,864.0,-88.0,-162.0,95.0,-149.0,154.0,-181.0,-281.0
-16528.0,720.0,-120.0,2.0,52.0,251.0,150.0,-185.0,-298.0
-16496.0,720.0,136.0,-342.0,-339.0,324.0,152.0,-186.0,-296.0
-16368.0,616.0,-160.0,-170.0,-132.0,355.0,150.0,-187.0,-290.0
-15800.0,888.0,-160.0,-732.0,409.0,-240.0,153.0,-187.0,-293.0
-16440.0,840.0,-112.0,-22.0,-328.0,96.0,156.0,-195.0,-288.0
-16272.0,880.0,112.0,-592.0,306.0,-216.0,160.0,-188.0,-286.0
-16728.0,856.0,56.0,-587.0,143.0,-182.0,160.0,-191.0,-291.0
-16472.0,736.0,120.0,-161.0,-535.0,100.0,146.0,-191.0,-284.0
-16432.0,752.0,-24.0,-102.0,221.0,-383.0,156.0,-190.0,-298.0
-16480.0,792.0,232.0,-476.0,34.0,-254.0,149.0,-181.0,-286.0
-16544.0,936.0,144.0,-348.0,688.0,-51.0,162.0,-191.0,-299.0
-16360.0,712.0,-88.0,-423.0,377.0,5.0,152.0,-181.0,-289.0
-16400.0,776.0,-16.0,-467.0,-275.0,533.0,145.0,-182.0,-298.0
-16544.0,936.0,288.0,-587.0,-791.0,-161.0,158.0,-185.0,-298.0
-16496.0,864.0,336.0,-2952.0,-751.0,-516.0,168.0,-186.0,-299.0
-16416.0,1200.0,56.0,-2174.0,-528.0,-257.0,144.0,-183.0,-289.0
-16880.0,-384.0,-128.0,-3474.0,-1017.0,596.0,145.0,-175.0,-295.0
-16280.0,784.0,240.0,-1631.0,-472.0,-226.0,150.0,-185.0,-300.0
-16432.0,824.0,520.0,-2442.0,-1064.0,-283.0,152.0,-186.0,-299.0
-16376.0,480.0,792.0,-2013.0,-372.0,-248.0,154.0,-178.0,-306.0
-16728.0,384.0,576.0,-929.0,450.0,-565.0,149.0,-181.0,-289.0
-16632.0,640.0,352.0,-642.0,665.0,-112.0,154.0,-163.0,-311.0
-16384.0,352.0,424.0,78.0,779.0,-79.0,140.0,-175.0,-298.0
-16536.0,152.0,576.0,-121.0,473.0,551.0,161.0,-177.0,-305.0
-16640.0,248.0,464.0,-64.0,437.0,506.0,144.0,-173.0,-301.0
-16368.0,536.0,288.0,-240.0,931.0,367.0,152.0,-173.0,-299.0
-16528.0,872.0,552.0,-256.0,806.0,602.0,158.0,-180.0,-305.0
-16896.0,944.0,224.0,-454.0,-20.0,522.0,144.0,-171.0,-301.0
-16864.0,792.0,480.0,478.0,561.0,842.0,166.0,-172.0,-305.0
-16400.0,560.0,152.0,-294.0,862.0,-134.0,161.0,-185.0,-305.0
-16768.0,488.0,72.0,-579.0,463.0,-448.0,153.0,-180.0,-303.0
-16936.0,672.0,216.0,230.0,178.0,50.0,149.0,-173.0,-301.0
-16096.0,496.0,-208.0,210.0,103.0,-103.0,160.0,-176.0,-304.0
-16504.0,856.0,368.0,-179.0,612.0,-126.0,154.0,-171.0,-304.0
-16704.0,232.0,-232.0,-325.0,588.0,-606.0,154.0,-171.0,-299.0
-16584.0,432.0,-32.0,-168.0,488.0,-437.0,153.0,-175.0,-295.0
-16632.0,512.0,200.0,93.0,-242.0,136.0,154.0,-168.0,-304.0
-16608.0,344.0,-88.0,-403.0,640.0,-614.0,146.0,-173.0,-289.0
-16944.0,248.0,208.0,-320.0,300.0,-114.0,160.0,-181.0,-291.0
-16608.0,576.0,224.0,-507.0,216.0,-31.0,158.0,-175.0,-295.0
-16480.0,680.0,608.0,-153.0,250.0,-97.0,160.0,-171.0,-299.0
-16416.0,608.0,-240.0,217.0,150.0,239.0,161.0,-172.0,-300.0
-16640.0,656.0,408.0,-5.0,40.0,-10.0,161.0,-180.0,-300.0
-16520.0,472.0,112.0,-264.0,328.0,-269.0,150.0,-175.0,-288.0
-16496.0,544.0,-840.0,3423.0,1307.0,-203.0,152.0,-181.0,-301.0
-16112.0,424.0,432.0,-2743.0,-36.0,-80.0,152.0,-176.0,-301.0
-16240.0,232.0,24.0,-1094.0,-128.0,287.0,158.0,-177.0,-298.0
-16640.0,416.0,176.0,-2379.0,107.0,-982.0,162.0,-171.0,-299.0
-16376.0,472.0,304.0,-2962.0,-302.0,-1639.0,158.0,-177.0,-310.0
-16696.0,-0.0,696.0,1567.0,126.0,-157.0,156.0,-177.0,-298.0
-16232.0,160.0,-488.0,-1341.0,313.0,-362.0,156.0,-162.0,-303.0
-16696.0,-104.0,232.0,-2272.0,261.0,-698.0,153.0,-170.0,-300.0
-16528.0,-88.0,80.0,-2102.0,119.0,-310.0,161.0,-167.0,-308.0
-16424.0,56.0,72.0,-1838.0,-539.0,250.0,160.0,-171.0,-299.0
-16848.0,168.0,216.0,-2337.0,141.0,-742.0,153.0,-157.0,-300.0
-16528.0,128.0,112.0,-1488.0,-366.0,-99.0,154.0,-166.0,-306.0
-16448.0,136.0,272.0,-1414.0,-581.0,661.0,164.0,-170.0,-298.0
-16440.0,56.0,400.0,-1314.0,-349.0,296.0,158.0,-157.0,-303.0
-16464.0,144.0,104.0,-697.0,440.0,-185.0,156.0,-165.0,-295.0
-16648.0,80.0,392.0,-811.0,306.0,-182.0,158.0,-170.0,-300.0
-16400.0,136.0,200.0,136.0,-514.0,158.0,156.0,-167.0,-308.0
-16528.0,24.0,424.0,-247.0,-76.0,778.0,160.0,-159.0,-306.0
-16280.0,240.0,496.0,307.0,-248.0,246.0,149.0,-163.0,-299.0
-16536.0,88.0,344.0,514.0,283.0,-692.0,168.0,-168.0,-301.0
-16648.0,88.0,272.0,514.0,354.0,-217.0,153.0,-167.0,-303.0
-16488.0,168.0,80.0,-1134.0,288.0,-305.0,150.0,-170.0,-305.0
-16656.0,-48.0,424.0,684.0,-172.0,290.0,157.0,-166.0,-309.0
-16432.0,192.0,16.0,21.0,-46.0,355.0,160.0,-166.0,-314.0
-16152.0,576.0,32.0,-510.0,24.0,-234.0,154.0,-166.0,-304.0
-16656.0,32.0,88.0,-1485.0,137.0,-94.0,165.0,-173.0,-314.0
-16688.0,40.0,296.0,-955.0,370.0,78.0,160.0,-163.0,-306.0
-16456.0,48.0,456.0,-11.0,929.0,133.0,160.0,-171.0,-306.0
-16384.0,432.0,-144.0,1195.0,161.0,273.0,150.0,-152.0,-303.0
-15880.0,520.0,704.0,431.0,-246.0,598.0,166.0,-172.0,-308.0
-16136.0,240.0,-256.0,715.0,656.0,-283.0,156.0,-170.0,-305.0
-16608.0,256.0,368.0,708.0,774.0,-698.0,148.0,-165.0,-313.0
-15992.0,-96.0,48.0,1500.0,771.0,-917.0,157.0,-161.0,-309.0
-17304.0,-136.0,200.0,367.0,-169.0,671.0,154.0,-168.0,-296.0
-16896.0,88.0,120.0,-230.0,-32.0,357.0,169.0,-170.0,-305.0
-16584.0,152.0,128.0,-928.0,-105.0,-299.0,157.0,-163.0,-299.0
-16664.0,296.0,520.0,8.0,-612.0,-405.0,153.0,-165.0,-310.0
-16448.0,304.0,208.0,-530.0,-357.0,711.0,150.0,-172.0,-315.0
-16384.0,272.0,472.0,91.0,-822.0,260.0,152.0,-171.0,-309.0
-16456.0,80.0,88.0,-3025.0,-1381.0,213.0,158.0,-155.0,-305.0
-16424.0,376.0,664.0,-2754.0,-1573.0,121.0,154.0,-151.0,-311.0
-16416.0,-80.0,704.0,-1154.0,-423.0,96.0,165.0,-161.0,-316.0
-16456.0,32.0,656.0,-862.0,-378.0,327.0,161.0,-157.0,-323.0
-16360.0,136.0,640.0,-995.0,-1518.0,26.0,156.0,-162.0,-328.0
-16456.0,72.0,1008.0,-364.0,-973.0,501.0,149.0,-161.0,-314.0
-16376.0,232.0,720.0,-1783.0,-1433.0,79.0,156.0,-162.0,-315.0
-16248.0,112.0,1352.0,-1820.0,-1173.0,588.0,154.0,-171.0,-327.0
-16544.0,72.0,984.0,-1381.0,-1104.0,329.0,149.0,-161.0,-322.0
-16312.0,248.0,1480.0,418.0,-1341.0,548.0,150.0,-162.0,-328.0
-16448.0,392.0,1384.0,142.0,-610.0,49.0,145.0,-160.0,-318.0
-16608.0,112.0,1368.0,-2010.0,-994.0,-205.0,153.0,-155.0,-320.0
