ax,ay,az,gx,gy,gz,mx,my,mz
-2504.0,5912.0,15136.0,10286.0,-22118.0,2207.0,-72.0,73.0,-234.0
-1744.0,5864.0,14336.0,10631.0,-24486.0,4264.0,-88.0,72.0,-224.0
-736.0,7512.0,14120.0,9573.0,-24823.0,5298.0,-102.0,59.0,-233.0
1528.0,7928.0,13736.0,7389.0,-27973.0,7695.0,-111.0,63.0,-246.0
2720.0,8160.0,10496.0,5377.0,-29903.0,8344.0,-135.0,50.0,-230.0
3776.0,7504.0,9376.0,12615.0,-25093.0,4348.0,-127.0,50.0,-227.0
6192.0,9672.0,8848.0,12795.0,-25220.0,5267.0,-154.0,45.0,-211.0
6944.0,9808.0,7400.0,12306.0,-29155.0,6653.0,-164.0,59.0,-214.0
5472.0,11320.0,6816.0,11641.0,-23240.0,6144.0,-172.0,42.0,-191.0
6552.0,11624.0,1992.0,6244.0,-23186.0,12115.0,-186.0,42.0,-172.0
8936.0,11712.0,2624.0,2390.0,-18398.0,18696.0,-205.0,49.0,-165.0
12112.0,12680.0,4904.0,291.0,-13170.0,23724.0,-230.0,43.0,-154.0
16488.0,12456.0,6808.0,3494.0,-4276.0,15980.0,-256.0,60.0,-152.0
9776.0,6008.0,7776.0,16534.0,-16735.0,16419.0,-259.0,55.0,-140.0
7952.0,8944.0,9408.0,27177.0,-20920.0,20237.0,-273.0,70.0,-116.0
5432.0,2240.0,2152.0,31259.0,-32768.0,22258.0,-274.0,72.0,-87.0
7960.0,-2576.0,-6760.0,32767.0,-32768.0,20473.0,-288.0,93.0,-8.0
9240.0,-9552.0,-8352.0,32767.0,-14357.0,18278.0,-294.0,119.0,23.0
12816.0,-14760.0,-12384.0,32767.0,-3177.0,5401.0,-302.0,177.0,90.0
12936.0,-11296.0,-10200.0,26407.0,-11199.0,718.0,-294.0,223.0,112.0
11864.0,-21320.0,-10688.0,25069.0,-11972.0,-5201.0,-277.0,250.0,129.0
13520.0,-26768.0,-10232.0,26001.0,-1873.0,-20166.0,-273.0,274.0,126.0
10128.0,-26584.0,-8840.0,32767.0,-3522.0,-32768.0,-280.0,286.0,135.0
10832.0,-22032.0,-9560.0,32767.0,-1959.0,-32768.0,-272.0,310.0,127.0
8032.0,-17128.0,-14840.0,32767.0,-18110.0,-32768.0,-289.0,337.0,129.0
7656.0,-12352.0,-9608.0,32767.0,-12555.0,-32768.0,-277.0,347.0,125.0
7488.0,-8528.0,-10864.0,32767.0,-16395.0,-32768.0,-278.0,376.0,107.0
8096.0,-6528.0,-7720.0,25970.0,-22691.0,-32768.0,-294.0,382.0,108.0
6064.0,-3760.0,-9128.0,21976.0,-22910.0,-32768.0,-285.0,386.0,97.0
3968.0,-3384.0,-10040.0,25093.0,-25883.0,-32768.0,-297.0,383.0,102.0
3656.0,-1264.0,-10504.0,21457.0,-30621.0,-32768.0,-282.0,390.0,99.0
1400.0,-1160.0,-12072.0,19918.0,-29011.0,-32768.0,-285.0,396.0,104.0
-6544.0,-1376.0,-14344.0,32767.0,-19390.0,-32768.0,-286.0,392.0,87.0
-3680.0,4528.0,-12216.0,32767.0,-21722.0,-32768.0,-297.0,396.0,90.0
-2120.0,-968.0,-11328.0,20779.0,-32768.0,-20394.0,-285.0,416.0,71.0
-6368.0,-3560.0,-13528.0,10606.0,-32768.0,-17211.0,-282.0,422.0,68.0
-5520.0,-4592.0,-12392.0,-1466.0,-32768.0,-15200.0,-260.0,422.0,84.0
-13792.0,-224.0,-11304.0,-5989.0,-32768.0,-17199.0,-231.0,412.0,92.0
-16856.0,1704.0,-11936.0,214.0,-32768.0,-17405.0,-206.0,401.0,97.0
-16520.0,-3560.0,-14992.0,-2830.0,-32768.0,-15863.0,-198.0,375.0,117.0
-18072.0,-4680.0,-13776.0,-24045.0,-18774.0,-14495.0,-168.0,386.0,107.0
-20168.0,2248.0,-10040.0,-32768.0,-32768.0,3493.0,-143.0,365.0,120.0
-22472.0,4312.0,-5328.0,-32768.0,-32768.0,9006.0,-114.0,320.0,120.0
-21696.0,7760.0,-344.0,-32768.0,-32768.0,15182.0,-66.0,263.0,106.0
-29880.0,12944.0,3016.0,-32768.0,-32768.0,14204.0,-28.0,208.0,58.0
-25872.0,15368.0,11808.0,-27691.0,-32768.0,11435.0,9.0,159.0,-21.0
-20448.0,7040.0,8544.0,-16367.0,-32768.0,31641.0,11.0,151.0,-103.0
-14744.0,4256.0,10784.0,-29384.0,-32768.0,32767.0,10.0,125.0,-142.0
-11616.0,4376.0,15400.0,-10258.0,-32768.0,18144.0,-29.0,115.0,-234.0
-5896.0,3480.0,18904.0,-2293.0,-32768.0,13538.0,-65.0,98.0,-265.0
-2272.0,1032.0,9416.0,5780.0,-32768.0,10287.0,-103.0,98.0,-300.0
-1232.0,6104.0,11472.0,1434.0,-32768.0,14340.0,-138.0,86.0,-294.0
8144.0,2176.0,14184.0,228.0,-32768.0,17995.0,-174.0,96.0,-309.0
5504.0,376.0,10856.0,86.0,-32768.0,25554.0,-213.0,95.0,-298.0
4080.0,2024.0,9936.0,-32768.0,-32768.0,32767.0,-271.0,113.0,-284.0
7520.0,2048.0,224.0,2039.0,-28312.0,-4966.0,-304.0,137.0,-253.0
12632.0,768.0,3168.0,1109.0,-29611.0,-3445.0,-322.0,131.0,-238.0
12040.0,4520.0,2312.0,-6228.0,-30253.0,4160.0,-333.0,137.0,-204.0
10208.0,1416.0,-2224.0,-25640.0,-30701.0,12165.0,-337.0,139.0,-195.0
13640.0,-1296.0,-9520.0,-18176.0,-28765.0,3645.0,-366.0,147.0,-171.0
14648.0,-800.0,-3736.0,6278.0,-15867.0,-6698.0,-369.0,157.0,-173.0
12536.0,128.0,-9576.0,2527.0,-25245.0,-3887.0,-363.0,144.0,-146.0
7512.0,-2184.0,-14464.0,-29067.0,-32768.0,397.0,-353.0,144.0,-99.0
9024.0,-2968.0,-19112.0,-4413.0,-32768.0,-10487.0,-355.0,142.0,-62.0
8864.0,-3552.0,-18984.0,16260.0,-17484.0,-16531.0,-329.0,134.0,-23.0
2976.0,3392.0,-14352.0,18497.0,-1588.0,-18303.0,-313.0,119.0,4.0
6176.0,3208.0,-17168.0,-11719.0,-13989.0,-6072.0,-302.0,122.0,1.0
4688.0,5008.0,-15560.0,-13780.0,-8842.0,2570.0,-286.0,106.0,-18.0
-792.0,8968.0,-20792.0,-21104.0,-4704.0,7188.0,-302.0,110.0,-10.0
7376.0,4040.0,-10688.0,-24019.0,3275.0,14125.0,-295.0,100.0,-36.0
6816.0,6736.0,-14896.0,-12518.0,-13960.0,2921.0,-302.0,105.0,-50.0
3832.0,11216.0,-14504.0,-683.0,-29688.0,5937.0,-303.0,101.0,-49.0
2520.0,17320.0,-12520.0,-15098.0,-31863.0,26061.0,-280.0,93.0,-22.0
-3904.0,6816.0,-19944.0,-29471.0,-22072.0,32767.0,-300.0,120.0,-36.0
32767.0,-27944.0,-7056.0,-20490.0,-32768.0,-2964.0,-313.0,136.0,-28.0
3088.0,9120.0,-3840.0,-31268.0,-22807.0,17365.0,-326.0,142.0,-10.0
