gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q2,q3
-0.06,0.084,-0.02,-0.105,0.081,10.299,-11.1,4.05,-25.43,0.849,-0.02,-0.141,0.506
-0.003,0.056,0.056,0.014,0.019,10.203,-9.9,4.35,-25.43,0.848,-0.02,-0.141,0.507
-0.04,0.078,-0.043,-0.014,0.101,10.27,-10.5,3.15,-25.13,0.849,-0.02,-0.14,0.506
0.006,-0.035,0.048,0.024,0.0,10.241,-10.05,2.4,-25.58,0.848,-0.019,-0.141,0.507
0.014,-0.019,0.023,0.01,0.12,10.131,-11.85,4.35,-26.93,0.848,-0.019,-0.141,0.507
0.016,0.003,0.051,-0.077,0.129,10.251,-11.4,3.0,-26.18,0.848,-0.019,-0.141,0.507
-0.003,0.011,0.012,0.034,0.139,10.188,-10.8,4.65,-25.58,0.848,-0.019,-0.141,0.507
0.067,-0.026,0.024,-0.077,0.067,10.203,-11.7,3.9,-24.83,0.848,-0.018,-0.141,0.507
-0.017,-0.003,0.075,0.014,0.081,10.289,-9.6,5.4,-24.38,0.848,-0.018,-0.141,0.508
0.018,-0.038,0.055,-0.125,0.086,10.246,-11.85,4.05,-26.93,0.848,-0.018,-0.141,0.508
-0.059,0.016,-0.046,-0.115,0.005,10.289,-11.85,4.05,-26.93,0.848,-0.018,-0.141,0.508
0.024,0.022,0.043,-0.01,0.038,10.136,-11.25,4.95,-24.38,0.848,-0.018,-0.141,0.508
-0.024,0.057,-0.016,-0.163,0.096,10.346,-11.25,4.95,-24.38,0.848,-0.018,-0.141,0.508
-0.049,0.061,-0.038,0.048,0.129,10.289,-10.05,4.65,-25.58,0.848,-0.018,-0.141,0.508
0.024,-0.007,0.029,-0.005,0.11,10.15,-10.8,4.95,-26.63,0.848,-0.018,-0.141,0.508
-0.054,0.042,-0.039,-0.024,0.12,10.203,-10.5,3.9,-25.13,0.848,-0.018,-0.14,0.508
-0.046,0.056,-0.086,-0.024,0.105,10.342,-11.85,3.75,-26.18,0.848,-0.018,-0.14,0.508
-0.036,0.045,0.012,-0.081,0.014,10.318,-11.85,3.75,-26.18,0.848,-0.019,-0.14,0.508
-0.006,-0.006,0.03,-0.086,0.24,10.236,-12.6,5.55,-25.43,0.848,-0.019,-0.141,0.508
-0.018,0.04,-0.01,-0.101,0.057,10.346,-12.6,5.55,-25.43,0.848,-0.019,-0.141,0.508
-0.065,0.046,-0.071,0.0,0.024,10.27,-12.0,4.95,-25.58,0.848,-0.019,-0.141,0.508
0.007,0.021,0.031,-0.057,-0.005,10.342,-10.65,3.3,-23.48,0.848,-0.019,-0.141,0.508
-0.036,0.087,-0.015,-0.005,0.053,10.246,-9.6,3.15,-25.88,0.848,-0.019,-0.14,0.508
0.017,-0.071,0.029,0.086,0.034,10.289,-10.2,4.8,-24.98,0.848,-0.019,-0.141,0.508
0.021,-0.024,0.042,-0.062,0.053,10.212,-11.4,4.35,-23.78,0.847,-0.018,-0.141,0.508
-0.053,0.047,0.005,-0.048,0.043,10.227,-11.1,5.55,-24.23,0.847,-0.019,-0.141,0.508
0.03,-0.044,0.046,-0.057,-0.005,10.279,-11.4,4.35,-26.48,0.847,-0.018,-0.141,0.508
-0.003,-0.007,0.029,-0.043,0.019,10.164,-9.9,4.05,-24.98,0.847,-0.018,-0.141,0.509
-0.058,0.05,-0.027,-0.053,0.11,10.198,-11.1,4.35,-24.23,0.847,-0.018,-0.141,0.508
0.001,0.043,0.046,0.005,0.072,10.155,-11.1,4.35,-24.23,0.847,-0.018,-0.141,0.509
-0.046,0.007,0.003,-0.125,0.072,10.212,-10.65,3.3,-24.68,0.847,-0.018,-0.141,0.509
0.012,0.051,0.016,-0.105,-0.014,10.375,-11.4,4.05,-25.43,0.847,-0.018,-0.141,0.509
0.019,-0.038,0.039,0.019,-0.048,10.15,-11.85,5.1,-24.98,0.847,-0.018,-0.141,0.509
-0.031,0.082,-0.023,0.038,0.096,10.169,-11.4,4.35,-25.43,0.847,-0.018,-0.141,0.509
-0.006,0.004,0.033,-0.235,0.086,10.275,-12.0,4.2,-23.63,0.847,-0.018,-0.141,0.509
-0.035,0.047,-0.014,-0.081,0.11,10.289,-12.0,4.95,-25.58,0.847,-0.018,-0.141,0.509
