n,gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q3,q4
1,0.035,0.005,0.015,-0.857,0.235,9.844,1.587,-2.057,-92.596,0.982,0.01,0.016,-0.178
2,0.012,0.009,0.02,-0.896,0.436,9.891,2.418,-2.092,-93.726,0.982,0.01,0.016,-0.178
3,-0.005,0.019,-0.033,-0.838,0.316,9.719,2.418,-2.092,-93.726,0.982,0.01,0.016,-0.179
4,0.051,-0.015,0.037,-0.829,0.445,9.906,0.708,-1.889,-92.77,0.982,0.01,0.016,-0.178
5,0.02,0.003,-0.029,-0.848,0.283,9.805,0.374,-1.266,-93.785,0.982,0.01,0.016,-0.178
6,-0.029,0.029,0.007,-0.934,0.369,9.81,2.535,-2.432,-94.598,0.982,0.01,0.016,-0.178
7,0.038,-0.044,0.037,-0.867,0.359,9.963,3.456,-3.06,-93.417,0.982,0.01,0.016,-0.178
8,0.059,-0.064,0.047,-0.81,0.426,9.901,1.244,-2.083,-94.059,0.982,0.011,0.016,-0.178
9,0.013,0.001,0.001,-0.905,0.45,9.877,1.558,-3.202,-93.779,0.982,0.011,0.016,-0.178
10,0.052,-0.027,-0.018,-0.8,0.345,9.877,1.235,-1.282,-94.044,0.982,0.011,0.016,-0.178
11,0.061,-0.018,-0.016,-0.924,0.297,9.978,1.599,-4.469,-93.077,0.982,0.011,0.016,-0.178
12,-0.011,0.018,-0.041,-0.795,0.364,9.81,1.981,-2.086,-93.742,0.982,0.011,0.016,-0.178
13,-0.025,0.041,0.018,-0.819,0.378,9.954,1.981,-2.086,-93.742,0.982,0.011,0.017,-0.178
14,0.013,-0.05,0.048,-0.805,0.489,9.891,2.122,-3.058,-94.19,0.982,0.011,0.016,-0.178
15,-0.031,-0.089,0.052,-0.867,0.46,9.796,2.122,-3.058,-94.19,0.982,0.011,0.016,-0.178
16,-0.116,-0.108,0.039,-0.805,0.316,9.556,1.276,-2.549,-93.342,0.982,0.011,0.016,-0.178
17,-0.083,-0.064,-0.007,-0.733,0.249,9.872,1.281,-2.062,-93.042,0.982,0.01,0.016,-0.178
18,-0.076,-0.103,0.053,-0.901,0.268,9.834,1.455,-2.693,-92.468,0.982,0.01,0.015,-0.177
19,0.118,-0.011,0.05,-0.479,-1.159,9.561,0.719,-1.883,-92.479,0.982,0.01,0.015,-0.177
20,-0.094,-0.153,0.119,-0.651,0.69,9.935,1.425,-2.388,-93.188,0.982,0.01,0.015,-0.177
21,-0.141,-0.067,0.001,-0.723,0.105,9.958,1.558,-1.752,-93.316,0.982,0.009,0.015,-0.177
22,0.029,-0.071,0.071,-0.699,0.273,9.958,1.558,-1.752,-93.316,0.982,0.009,0.014,-0.176
23,-0.048,-0.09,0.069,-0.771,0.201,9.92,2.125,-3.379,-94.196,0.983,0.009,0.014,-0.176
24,-0.078,-0.044,-0.004,-1.269,0.46,10.035,1.27,-2.068,-93.333,0.983,0.008,0.014,-0.176
25,-0.083,-0.02,0.009,-0.604,0.235,9.987,1.27,-2.068,-93.333,0.983,0.008,0.014,-0.176
26,0.025,-0.035,0.046,-0.877,0.153,9.901,3.208,-3.999,-92.574,0.983,0.008,0.014,-0.176
27,-0.001,-0.058,0.075,-0.829,0.364,9.796,3.208,-3.999,-92.574,0.983,0.008,0.014,-0.175
28,0.019,-0.041,0.043,-0.814,0.283,9.968,2.048,-2.854,-92.16,0.983,0.008,0.014,-0.175
29,-0.062,-0.055,0.018,-0.824,0.364,9.896,0.828,-2.873,-93.799,0.983,0.008,0.014,-0.175
30,-0.053,-0.031,0.027,-0.766,0.316,9.891,2.008,-2.071,-93.016,0.983,0.008,0.014,-0.175
31,-0.046,-0.045,-0.012,-0.685,0.259,9.858,-0.158,-2.359,-92.81,0.983,0.008,0.014,-0.175
32,-0.044,-0.117,0.057,-0.81,0.412,9.872,2.055,-2.528,-91.863,0.983,0.007,0.013,-0.175
33,-0.027,-0.094,0.004,-0.632,0.383,9.911,2.439,-2.563,-93.3,0.983,0.007,0.013,-0.175
34,-0.091,-0.067,0.029,-0.752,0.331,9.925,2.439,-2.563,-93.3,0.983,0.007,0.013,-0.174
35,-0.068,-0.042,0.04,-0.872,0.316,9.853,1.861,-2.393,-93.172,0.983,0.007,0.013,-0.174
36,-0.13,-0.048,0.025,-0.704,0.196,9.93,1.861,-2.393,-93.172,0.983,0.006,0.013,-0.174
37,-0.07,-0.02,-0.003,-0.824,0.244,9.901,1.312,-4.786,-93.093,0.983,0.006,0.013,-0.174
38,-0.062,-0.05,-0.012,-0.556,0.225,9.997,1.864,-2.713,-93.178,0.983,0.005,0.013,-0.174
39,-0.077,-0.011,-0.006,-0.719,0.24,9.8,1.864,-2.713,-93.178,0.983,0.005,0.013,-0.174
40,-0.072,-0.061,0.001,-0.623,0.22,9.978,0.401,-3.669,-93.83,0.983,0.005,0.013,-0.174
41,-0.012,-0.062,0.055,-0.618,0.211,9.867,1.325,-3.166,-92.192,0.983,0.005,0.012,-0.174
42,0.011,-0.074,0.054,-0.407,0.139,9.935,0.173,-3.145,-91.944,0.983,0.005,0.012,-0.174
43,-0.021,-0.058,0.041,-0.752,0.129,9.824,1.581,-2.867,-93.047,0.983,0.005,0.012,-0.173
44,0.012,-0.078,0.074,-0.541,0.125,9.978,0.437,-3.164,-92.659,0.983,0.005,0.012,-0.173
45,-0.029,-0.026,-0.008,-0.618,0.23,9.944,2.059,-2.848,-91.869,0.983,0.005,0.012,-0.173
46,0.007,-0.079,0.056,-0.46,0.182,10.016,2.059,-2.848,-91.869,0.983,0.005,0.011,-0.173
47,0.011,-0.047,0.048,-0.56,0.23,9.791,1.85,-2.399,-93.463,0.983,0.005,0.011,-0.173
48,-0.032,-0.042,0.004,-0.589,0.307,9.949,1.887,-3.345,-92.755,0.983,0.005,0.011,-0.173
49,-0.039,-0.03,0.01,-0.546,0.201,10.064,1.887,-3.345,-92.755,0.983,0.005,0.011,-0.173
50,-0.028,-0.048,-0.004,-0.584,0.311,9.915,1.25,-2.564,-94.068,0.983,0.005,0.011,-0.173
51,-0.013,-0.066,0.044,-0.589,0.062,10.117,1.458,-1.563,-92.012,0.983,0.004,0.011,-0.172
52,-0.013,-0.046,0.019,-0.513,0.249,9.935,1.29,-2.863,-93.057,0.983,0.004,0.01,-0.172
53,0.038,-0.008,0.164,-0.647,0.268,9.844,1.868,-3.034,-93.184,0.983,0.005,0.01,-0.171
54,0.035,-0.027,0.01,-0.508,0.216,9.93,1.568,-1.746,-93.026,0.983,0.005,0.01,-0.171
55,-0.023,-0.018,-0.006,-0.436,0.187,10.026,0.867,-3.979,-93.094,0.983,0.005,0.01,-0.171
56,0.05,-0.062,0.057,-0.556,0.163,9.805,1.57,-2.873,-93.337,0.983,0.005,0.01,-0.171
57,-0.016,-0.056,0.045,-0.575,0.216,9.844,1.929,-3.805,-91.747,0.984,0.005,0.01,-0.171
58,0.009,-0.005,0.026,-0.484,0.249,9.877,1.929,-3.805,-91.747,0.984,0.005,0.01,-0.171
59,0.034,-0.019,0.025,-0.517,0.192,9.829,0.404,-2.538,-93.373,0.984,0.005,0.01,-0.171
60,0.035,-0.006,0.005,-0.513,0.081,9.786,0.695,-3.025,-93.517,0.984,0.006,0.01,-0.171
61,-0.023,0.005,0.036,-0.513,0.187,9.896,0.695,-3.025,-93.517,0.984,0.006,0.01,-0.171
62,-0.009,-0.026,-0.026,-0.599,0.23,9.978,1.898,-3.339,-92.464,0.984,0.006,0.01,-0.171
63,-0.005,-0.009,0.054,-0.436,0.196,10.083,1.64,-2.027,-91.144,0.984,0.006,0.01,-0.17
64,-0.038,0.017,0.051,-0.719,0.053,9.92,1.36,-3.952,-91.481,0.984,0.006,0.01,-0.17
65,-0.022,0.006,0.047,-0.527,0.216,9.834,1.455,-2.693,-92.468,0.984,0.006,0.01,-0.17
66,-0.041,0.008,0.002,-0.374,0.101,9.872,0.288,-3.325,-92.813,0.984,0.005,0.011,-0.17
67,0.017,-0.012,0.073,-0.465,0.12,9.839,1.451,-2.373,-92.462,0.984,0.005,0.011,-0.17
68,-0.028,0.012,-0.017,-0.465,0.134,9.944,0.705,-3.019,-93.226,0.984,0.005,0.011,-0.17
69,-0.061,0.022,-0.062,-0.56,0.192,9.867,1.638,-2.834,-91.45,0.984,0.005,0.011,-0.17
70,-0.004,-0.001,0.021,-0.57,0.211,9.963,1.638,-2.834,-91.45,0.984,0.005,0.011,-0.17
