,gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q2,q3
1,-0.033,0.034,-0.023,-0.536,0.321,9.997,-8.502,-3.255,-71.427,0.998,0.013,0.031,0.007
2,-0.008,0.058,0.028,-0.489,0.364,9.906,-8.502,-3.255,-71.427,0.998,0.013,0.032,0.007
3,0.011,0.01,0.069,-0.455,0.556,9.867,-7.937,-3.755,-71.996,0.998,0.013,0.032,0.007
4,-0.048,-0.005,0.016,-0.441,0.35,9.901,-9.07,-2.595,-70.855,0.998,0.013,0.032,0.007
5,0.031,-0.044,0.045,-0.489,0.369,10.073,-7.914,-3.42,-71.264,0.998,0.013,0.032,0.007
6,0.037,-0.036,0.055,-0.522,0.426,9.963,-8.408,-2.964,-72.722,0.998,0.013,0.032,0.008
7,0.017,0.03,0.066,-0.661,0.254,9.92,-8.387,-3.435,-72.296,0.998,0.013,0.033,0.008
8,0.038,-0.026,0.008,-0.527,0.335,9.906,-7.898,-3.411,-70.828,0.998,0.014,0.033,0.008
9,0.047,-0.056,0.022,-0.513,0.465,9.867,-8.086,-2.466,-71.686,0.998,0.014,0.033,0.008
10,0.021,-0.003,0.021,-0.465,0.417,9.968,-7.846,-1.692,-72.822,0.998,0.014,0.033,0.008
11,0.022,-0.023,-0.012,-0.508,0.321,9.887,-7.198,-3.435,-71.528,0.998,0.014,0.033,0.008
12,-0.02,0.01,0.029,-0.532,0.307,9.882,-9.856,-3.426,-72.784,0.998,0.014,0.033,0.008
13,-0.024,0.059,-0.019,-0.536,0.326,9.901,-6.762,-3.44,-71.512,0.998,0.014,0.034,0.008
14,-0.037,0.035,0.005,-0.455,0.35,9.815,-6.762,-3.44,-71.512,0.998,0.014,0.034,0.008
15,-0.007,0.004,0.029,-0.426,0.335,9.939,-9.513,-3.4,-71.321,0.998,0.014,0.034,0.008
16,0.067,-0.018,0.012,-0.556,0.34,9.839,-7.947,-3.761,-72.286,0.998,0.014,0.034,0.008
17,0.035,-0.016,-0.005,-0.527,0.364,9.901,-8.722,-1.845,-73.002,0.998,0.015,0.035,0.008
18,0.053,-0.058,0.059,-0.498,0.22,9.81,-7.832,-2.007,-72.538,0.998,0.015,0.034,0.009
19,-0.014,0.019,-0.002,-0.378,0.407,9.896,-7.914,-3.42,-71.264,0.998,0.015,0.035,0.009
20,-0.037,0.025,-0.008,-0.541,0.307,9.963,-8.396,-2.634,-72.281,0.998,0.015,0.035,0.009
21,-0.011,0.06,0.033,-0.532,0.34,9.891,-9.102,-2.13,-71.572,0.998,0.015,0.036,0.009
22,0.034,0.011,0.019,-0.527,0.407,9.935,-7.397,-2.819,-72.828,0.998,0.015,0.036,0.009
23,0.026,-0.028,0.025,-0.517,0.388,9.872,-7.397,-2.819,-72.828,0.998,0.015,0.036,0.009
24,-0.029,-0.028,-0.022,-0.321,0.436,9.863,-7.84,-3.624,-73.294,0.998,0.015,0.036,0.009
25,-0.023,0.017,-0.044,-0.513,0.23,9.915,-8.333,-2.598,-70.538,0.998,0.015,0.036,0.009
26,-0.026,0.031,-0.016,-0.508,0.331,9.848,-8.333,-2.598,-70.538,0.998,0.015,0.036,0.009
27,-0.03,0.057,-0.011,-0.556,0.354,9.858,-7.84,-3.624,-73.294,0.997,0.015,0.037,0.009
28,-0.043,0.063,-0.025,-0.465,0.244,9.834,-8.919,-5.012,-71.475,0.997,0.015,0.037,0.008
29,-0.049,-0.009,-0.008,-0.565,0.153,9.848,-7.384,-1.683,-72.081,0.997,0.014,0.037,0.008
30,0.007,-0.024,0.039,-0.436,0.354,9.891,-8.695,-4.248,-73.047,0.997,0.014,0.037,0.009
31,-0.02,0.032,-0.016,-0.455,0.287,9.92,-9.834,-5.349,-72.82,0.997,0.014,0.038,0.009
32,-0.026,-0.023,0.032,-0.508,0.326,9.935,-8.084,-4.077,-72.152,0.997,0.014,0.038,0.009
33,-0.021,-0.033,0.035,-0.45,0.393,9.8,-8.084,-4.077,-72.152,0.997,0.014,0.038,0.009
34,0.028,-0.001,0.034,-0.589,0.244,9.973,-7.538,-1.363,-72.225,0.997,0.014,0.038,0.009
35,-0.042,0.061,-0.006,-0.532,0.359,9.839,-9.108,-2.94,-72.023,0.997,0.014,0.038,0.009
36,0.015,-0.023,0.047,-0.556,0.316,9.939,-9.108,-2.94,-72.023,0.997,0.014,0.038,0.009
37,-0.018,0.045,-0.026,-0.493,0.364,9.906,-7.786,-3.27,-71.691,0.997,0.014,0.039,0.009
38,-0.028,0.03,0.045,-0.551,0.259,9.987,-7.82,-1.677,-72.096,0.997,0.014,0.039,0.009
39,-0.017,0.008,0.023,-0.479,0.292,9.925,-8.961,-3.585,-72.174,0.997,0.014,0.039,0.009
40,0.012,0.001,0.039,-0.489,0.359,9.93,-10.753,-2.14,-73.082,0.997,0.014,0.039,0.01
41,0.053,-0.039,0.052,-0.513,0.316,9.958,-8.516,-4.392,-72.174,0.997,0.015,0.039,0.01
42,0.005,-0.005,0.016,-0.441,0.345,9.882,-8.418,-2.97,-73.013,0.997,0.015,0.039,0.01
43,0.037,-0.051,0.034,-0.498,0.354,9.887,-9.099,-3.741,-72.038,0.997,0.015,0.039,0.01
44,-0.019,0.03,0.014,-0.489,0.316,9.925,-8.108,-3.285,-72.573,0.997,0.015,0.04,0.01
45,0.015,0.033,0.009,-0.484,0.283,9.915,-8.108,-3.285,-72.573,0.997,0.015,0.04,0.01
46,-0.029,0.016,0.006,-0.455,0.326,9.848,-9.254,-1.971,-71.719,0.997,0.015,0.04,0.01
47,-0.024,-0.008,-0.041,-0.46,0.465,9.954,-9.254,-1.971,-71.719,0.997,0.015,0.04,0.01
48,-0.033,0.019,0.017,-0.498,0.297,9.949,-9.674,-2.44,-71.454,0.997,0.015,0.041,0.01
49,0.024,-0.064,0.072,-0.536,0.302,9.858,-7.939,-2.144,-71.53,0.997,0.015,0.04,0.011
50,0.051,-0.045,0.036,-0.388,0.422,9.863,-9.144,-2.154,-72.734,0.997,0.015,0.04,0.011
51,0.017,-0.016,0.093,-0.513,0.354,9.973,-9.844,-2.13,-72.034,0.997,0.015,0.04,0.011
52,0.042,-0.01,0.045,-0.374,0.388,9.829,-9.112,-2.619,-72.017,0.997,0.015,0.04,0.011
53,0.037,-0.035,0.069,-0.436,0.283,10.03,-8.642,-4.218,-71.595,0.997,0.016,0.04,0.012
54,0.001,-0.003,-0.048,-0.369,0.316,9.92,-9.066,-2.916,-70.861,0.997,0.016,0.04,0.011
55,-0.003,0.032,-0.019,-0.465,0.388,9.944,-7.939,-2.144,-71.53,0.997,0.016,0.041,0.011
56,0.018,0.008,-0.013,-0.436,0.278,9.978,-8.974,-2.464,-72.153,0.997,0.016,0.041,0.011
57,-0.017,0.029,-0.046,-0.474,0.378,9.81,-8.974,-2.464,-72.153,0.997,0.016,0.041,0.011
58,0.001,-0.034,-0.025,-0.465,0.359,9.867,-8.929,-4.051,-71.457,0.997,0.016,0.041,0.011
59,0.017,0.061,-0.004,-0.493,0.244,9.906,-8.929,-4.051,-71.457,0.997,0.016,0.042,0.011
60,-0.018,0.028,0.014,-0.465,0.402,9.925,-7.765,-2.775,-70.956,0.997,0.016,0.042,0.011
61,0.045,-0.051,0.032,-0.589,0.326,9.839,-7.942,-4.242,-72.295,0.997,0.016,0.042,0.011
62,0.021,0.026,0.003,-0.589,0.23,9.973,-7.93,-2.945,-71.545,0.997,0.016,0.042,0.011
63,0.011,-0.009,0.01,-0.426,0.393,9.958,-10.567,-4.375,-72.683,0.997,0.016,0.042,0.011
64,0.016,-0.016,0.105,-0.398,0.374,9.896,-8.963,-2.941,-72.017,0.997,0.017,0.042,0.012
65,0.044,-0.031,0.03,-0.45,0.412,9.901,-7.778,-1.653,-70.935,0.997,0.017,0.042,0.012
66,-0.005,0.022,0.034,-0.412,0.34,9.877,-10.255,-2.916,-71.629,0.997,0.017,0.042,0.012
67,0.035,-0.058,0.03,-0.532,0.417,9.848,-9.722,-1.983,-72.606,0.997,0.017,0.042,0.012
68,0.024,0.022,0.013,-0.508,0.422,9.829,-7.939,-2.144,-71.53,0.997,0.017,0.042,0.012
69,-0.002,0.041,-0.018,-0.326,0.393,9.848,-7.939,-2.144,-71.53,0.997,0.017,0.042,0.012
70,-0.007,0.054,-0.037,-0.465,0.335,10.15,-8.562,-4.095,-73.329,0.997,0.017,0.043,0.012
71,0.062,0.015,0.034,-0.536,0.364,9.906,-8.36,-3.42,-71.57,0.997,0.017,0.043,0.012
72,0.052,0.002,0.013,-0.489,0.321,9.93,-8.541,-3.6,-72.594,0.997,0.018,0.043,0.012
73,0.003,0.007,-0.039,-0.302,0.35,9.858,-8.954,-2.775,-71.724,0.997,0.018,0.043,0.012
74,0,-0.021,0.061,-0.493,0.431,9.968,-8.077,-3.267,-71.701,0.997,0.018,0.043,0.012
75,0.054,0.03,0.042,-0.359,0.565,9.872,-7.836,-4.428,-73.454,0.997,0.018,0.043,0.012
76,-0.022,0.003,-0.029,-0.417,0.273,9.81,-9.805,-4.203,-71.637,0.997,0.018,0.043,0.012
77,-0.049,0.029,-0.012,-0.484,0.335,9.939,-10.075,-3.22,-70.758,0.997,0.018,0.044,0.012
78,0.077,0,0.034,-0.436,0.34,9.958,-10.075,-3.22,-70.758,0.997,0.018,0.044,0.012
79,0.061,-0.055,0.036,-0.536,0.393,10.083,-9.681,-2.766,-71.75,0.997,0.019,0.044,0.013
80,0.033,-0.018,0.047,-0.541,0.412,9.939,-8.693,-3.441,-72.742,0.997,0.019,0.044,0.013
81,-0.048,0.006,-0.055,-0.489,0.445,9.911,-8.693,-3.441,-72.742,0.997,0.019,0.044,0.013
82,-0.026,0.023,0.01,-0.412,0.354,9.839,-8.55,-2.799,-72.579,0.997,0.018,0.044,0.013
83,0.059,0.003,0.019,-0.489,0.326,9.963,-8.396,-2.634,-72.281,0.997,0.019,0.044,0.013
84,-0.041,0.007,-0.022,-0.46,0.402,10.083,-8.667,-3.426,-72.016,0.997,0.018,0.044,0.013
85,0,0.071,-0.023,-0.556,0.201,10.073,-9.707,-3.265,-72.63,0.997,0.018,0.045,0.012
86,0.007,0.033,-0.051,-0.46,0.465,9.939,-9.28,-2.469,-72.6,0.997,0.018,0.045,0.012
87,0.01,-0.006,-0.03,-0.422,0.431,9.877,-8.694,-1.023,-71.971,0.997,0.018,0.045,0.012
88,0.006,-0.01,0.007,-0.589,0.374,9.867,-8.694,-1.023,-71.971,0.997,0.018,0.045,0.012
89,-0.026,0.008,-0.037,-0.307,0.445,9.968,-7.567,-3.476,-73.716,0.997,0.018,0.045,0.012
90,0.01,0.025,-0.022,-0.474,0.469,9.92,-9.273,-4.077,-72.92,0.997,0.018,0.045,0.012
91,-0.007,-0.003,-0.025,-0.354,0.383,9.939,-9.273,-4.077,-72.92,0.997,0.018,0.045,0.012
92,0.005,-0.026,-0.006,-0.46,0.441,9.872,-7.807,-2.799,-72.117,0.997,0.019,0.045,0.012
93,0.017,-0.031,0.041,-0.479,0.402,9.92,-7.974,-1.358,-72.241,0.997,0.019,0.045,0.012
94,0.025,-0.026,0.023,-0.493,0.364,9.906,-10.187,-1.672,-73.342,0.997,0.019,0.045,0.012
95,0.05,-0.024,0.037,-0.469,0.369,9.858,-9.004,-1.191,-72.565,0.997,0.019,0.045,0.012
96,-0.049,0.04,-0.046,-0.402,0.489,9.82,-8.394,-1.827,-71.975,0.997,0.019,0.045,0.012
97,-0.018,0.045,-0.05,-0.441,0.422,9.867,-7.977,-3.456,-73.006,0.997,0.019,0.045,0.012
98,0.034,-0.026,0.044,-0.541,0.35,9.887,-7.977,-3.456,-73.006,0.997,0.019,0.045,0.012
99,-0.015,0.014,-0.035,-0.517,0.369,9.757,-7.338,-1.979,-70.925,0.997,0.019,0.045,0.012
100,-0.036,0,0.008,-0.45,0.422,9.939,-7.338,-1.979,-70.925,0.997,0.018,0.045,0.012
101,-0.033,0.034,-0.004,-0.513,0.465,9.872,-10.327,-2.635,-73.511,0.997,0.018,0.046,0.012
102,-0.018,-0.037,0.007,-0.498,0.311,9.935,-9.137,-1.344,-72.283,0.997,0.018,0.045,0.012
103,-0.093,-0.008,0.021,-0.441,0.316,9.978,-7.563,-3.796,-73.722,0.997,0.018,0.045,0.012
104,-0.047,0.022,-0.012,-0.398,0.431,9.949,-7.933,-2.625,-71.539,0.997,0.017,0.045,0.012
105,-0.008,0.022,0.024,-0.359,0.34,9.906,-8.534,-2.79,-72.144,0.997,0.017,0.046,0.012
106,-0.009,-0.005,0.024,-0.469,0.345,9.872,-9.121,-1.818,-72.002,0.997,0.017,0.046,0.012
107,0.015,0.006,0.044,-0.402,0.331,9.935,-9.855,-2.136,-72.324,0.997,0.017,0.046,0.012
108,-0.065,0.042,-0.015,-0.455,0.388,9.848,-8.396,-2.634,-72.281,0.997,0.017,0.046,0.012
109,-0.027,0.026,-0.022,-0.354,0.388,9.949,-7.889,-4.212,-70.843,0.997,0.017,0.046,0.012
110,0.042,-0.014,-0.009,-0.517,0.335,9.896,-7.889,-4.212,-70.843,0.997,0.017,0.046,0.012
